OBJECTID,ID,BEZEICHNUNG,KURZBEZEICHNUNG,FLAECHE,STRSCHL,STRASSE,HAUSBEZ,PLZ,ORT,TELEFON,FAX,URL,SHAPE__Area,SHAPE__Length
1,1,Tierpark Chemnitz,Tierpark,82047,11490,Nevoigtstraße,18,09117,Chemnitz,0371 850028,0371 8577693,http://www.tierpark-chemnitz.de,210601.7421875,3641.46463255749
2,2,Wildgatter Oberrabenstein,Wildgatter,365352,12320,Thomas-Müntzer-Höhe,1,09117,Chemnitz,0371 850708,,http://www.tierpark-chemnitz.de,888337.845703125,3919.85527503448
